,0,1,2
0,2ème ruelle Nazon # 29, Port-au-Prince, Port-au-Prince
1,16 Bis, Port-au-Prince, Rue 4 et Delmas 65 rue Marcelin #4
2,19, Port-au-Prince, Canapé-Vert
3,Rue C. Mayard # 207, Petion-Ville, Port-au-Prince
4,Cap-Haïtien,Cap-Haitien,
5,Autoroute de Delmas, Delmas, Port-au-Prince
6,Anse à Galet,Anse-a-galets, Ouest
7,Petit Goave, Petit Goave,
8,Delmas 77 # 1 A, Port-au-Prince, Ouest
9,Angle Rues Joseph et Mgr Guilloux, Port-au-Prince, Ouest
10,14, Port-au-Prince, Port-au-Prince
11,Rue Dufort # 38, Port-au-Prince, Port-au-Prince
12,89, Port-au-Prince, Port-au-Prince
13,Rue Oswald Durand, Port-au-Prince,
14,10, Port-au-Prince, Port-au-Prince
15,Ave Christophe, Port-au-Prince, Ouest
16,160, Port-au-Prince, Port-au-Prince
17,Route Nationale #1, Port-au-Prince, Ministère de l’Agriculture
18,Rue Mgr Guilloux, Port-au-Prince, Ouest
19,Angle rue Jér, Port-au-Prince,Port-au-Prince Ouest
20,Ruelle Mayard, Port-au-Prince, Port-au-Prince
21,Rue Toussaint Louverture,Cayes,
22,Avenue Christophe,Port-au-Prince, Ouest
23,98, Port-au-Prince, Bourdon
24,Grand'Anse,Jeremie,
25,Angle Rue Joseph Janvier et Blvd Harry Truman, Port-au-Prince,
26,13, Port-au-Prince, Port-au-Prince
27,Rue Mgr Guilloux, Port-au-Prince, Ouest
28,Tabarre, Tabarre, Ouest
29,Martissant 1, Port-au-Prince, Port-au-Prince
30,Building 28, Port-au-Prince, Parc Industriel SONAPI
31,Rue Oswald Durand, Port-au-Prince, Port-au-Prince
32,81 bis, Port-au-Prince, Bois-Verna
33,Rue Générale Marion, Cayes, Sud
34,Rue Martin Luther King, Port-au-Prince,
35,8,Tabarre, Blvd Toussaint Louverture
36,Tabarre 43,Tabarre, Port-au-Prince
37,7, Delmas, Port-au-Prince; Montrouis; La Gonâve
38,20, Port-au-Prince, rue Sapotille
39,30, Port-au-Prince, Port-au-Prince
40,34, Gonaives, Route Nationale #1
41,18,Cayes,Cayes
42,218,Port-au-Prince, Turgeau
43,275, Port-au-Prince, Port-au-Prince
44,7, Port-au-Prince, Bourdon
45,Limbé,Limbe,
46,1, Port-au-Prince, Port-au-Prince
47,774,Petit-Goave, Petit-Goave
48,5,Croix-des-Bouquets, Croix-des-Bouquets
49,Angle Rue des Dalles et Ave Ducoste, Port-au-Prince, Ouest
50,25 Ave N, Port-au-Prince, Ouest
51,30, Port-au-Prince, Port-au-Prince
52,Delmas 30, Port-au-Prince, Ouest
53,63, Carrefour, Diquini
54,51, Cayes, Cayes
55,316, Port-au-Prince, Port-au-Prince Ouest
56,2, Port-au-Prince, Port-au-Prince 
57,Rue Capois, Port-au-Prince,
58,Trou du Nord,Trou du Nord,
59,29, Port-au-Prince, Port-au-Prince
60,14, Port-au-Prince, Port-au-Prince
61,180, Port-au-Prince, Port-au-Prince
62,7, Delmas, Rue L. Derance Imp. Oseille
63,449, Cap-Haitien, Cap-Haïtien
64,Brouette, Jeremie, Grand-Anse
65,33, Port-de-Paix, Port-de-Paix
66,La Colline, Gressier, Ouest
67,154, Port-au-Prince, Port-au-Prince
68,Fond des Nègres,Fond des negres," Sud 
Avenue Christophe"
69,La vallée de Jacmel, la vallee de Jacmel,
70,23, Port-au-Prince, Port-au-Prince
71,Rue 17 Q, Cap-Haitien, Nord
72,Turgeau, Port-au-Prince, Ouest
73,146, Petion-Ville, Pétion-Ville
74,Carrefour, Port-au-Prince, Ouest
75,Chancerelle - Varreux, Port-au-Prince, Ouest
76,Port-au-Prince, Port-au-Prince,
77,,Port-au-prince,
78,Amiral Kilik# 18b,Carrefour,
80,Hinche, Centre,
