,Spécialité,Domaine,Durée (année),Type Diplôme,Diplômés,id_
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,5,4
2,Cuisine,"Tourisme, Hôtellerie et Restauration",2,Technique,10,4
3,Patisserie,"Tourisme, Hôtellerie et Restauration",2,Technique,20,4
1,Architecture,"Architecture, Urbanisme et Aménagement du territoire",4,Licence,35,77
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,40,77
3,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,40,77
4,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,20,77
5,Plomberie,Métiers du bâtiment et autres,2,Diplome,27,77
6,Electricité,Métiers du bâtiment et autres,2,Diplome,29,77
7,Génie Civil,Sciences de l’Ingénieur,5,Licence,30,77
8,Topographie,Sciences de l’Ingénieur,2,Diplome,23,77
9,Economie,Sciences économiques et politiques,4,Licence,27,77
10,Sciences Informatiques,Sciences Informatiques,4,Licence,28,77
11,Télécommunication,Sciences Informatiques,2,Diplome,25,77
12,Informatique de Gestion,Sciences Informatiques,2,Diplome,30,77
1,Relations publiques,Marketing,2 ans,Technique,25,276
2,Restauration,"Tourisme, Hôtellerie et Restauration",2 ans,Technique,30,276
3,Cuisine,"Tourisme, Hôtellerie et Restauration",9 mois,Technique,20,276
4,Patisserie,"Tourisme, Hôtellerie et Restauration",10 mois,Technique,20,276
5,Hôtellerie,"Tourisme, Hôtellerie et Restauration",2 ans,Technique,25,276
1,Droit,Droit,4,Licence,8,56
2,Gouvernance,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,6,56
3,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,8,56
4,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,8,56
5,Gestion Touristique,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Licence,10,56
6,Marketing,Marketing,2,Diplome,8,56
7,Diplomatie,Sciences économiques et politiques,4,Licence,15,56
8,Secrétariat,Secrétariat,2,Diplome,15,56
9,Hôtellerie,"Tourisme, Hôtellerie et Restauration",2,Diplome,11,56
1,Photographie / Vidéographie,"Arts, Culture, Design et mode",6 mois,Certificat,40,174
2,Communication,Communication et Journalisme,12 mois,Diplome,20,174
3,Techniques Douanières,Douane,12 mois,Diplome,20,174
4,Anglais,Langues et Lettres,12 mois,Certificat,60,174
5,Techniques Bancaires,"Management/Gestion, Finance, Comptabilité et Commerce",1,Diplome,60,174
6,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",18 mois,Diplome,50,174
7,Enseignement Technique,Sciences de l’Education,2 mois,Certificat,50,174
8,Technique Informatique,Sciences Informatiques,10,Diplome,400,174
9,Dépannage d'ordinateurs,Sciences Informatiques,1,Certificat,150,174
10,Infographie,Sciences Informatiques,1,Certificat,80,174
11,Réseau,Sciences Informatiques,6 mois,Certificat,30,174
12,Secrétariat,Secrétariat,2,Diplome,15,174
13,Assistante Administrative,Secrétariat,2 ans,Diplome,20,174
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",1,Certificat,11,6
2,Mécanique Auto - Diesel,Mécanique,2,Technique,9,6
3,Electricité,Métiers du bâtiment et autres,1,Certificat,29,6
4,Réfrigération,Métiers du bâtiment et autres,1,Technique,7,6
5,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,1,Technique,4,6
1,Mécanique automobile,Mécanique,2,Technique,10 @ 12,175
2,Ferronnerie Soudure,Métiers du bâtiment et autres,1,Technique,10,175
3,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,12 @ 15,175
1,Cordonnerie,"Arts, Culture, Design et mode",1,Technique,134,7
2,Travaux du cuir,"Arts, Culture, Design et mode",1,Technique,100,7
3,Coupe - Confect. masculine,"Arts, Culture, Design et mode",1,Technique,100,7
4,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,100,7
5,Broderie,"Arts, Culture, Design et mode",1,Technique,34,7
6,Electricité Auto,Mécanique,2,Technique,52,7
7,Ferronnerie Soudure,Métiers du bâtiment et autres,2,Technique,117,7
8,Plomberie,Métiers du bâtiment et autres,2,Technique,32,7
9,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Technique,100,7
1,Artisanat,"Arts, Culture, Design et mode",2,Technique,26,8
2,Plomberie,Métiers du bâtiment et autres,2,Technique,23,8
3,Electricité,Métiers du bâtiment et autres,2,Technique,29,8
4,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,39,8
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,20,10
2,Gestion Financière,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,20,10
3,Techniques Bancaires,"Management/Gestion, Finance, Comptabilité et Commerce",1,Certificat,25,10
4,Hôtesse de l'air,Métiers de l'air,1,Technique,20,10
5,Technique Informatique,Sciences Informatiques,2,Diplome,25,10
6,Secrétariat,Secrétariat,2,Technique,25,10
1,Mécanique Industrielle,Mécanique,2,Technique,20,224
2,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,2,Technique,85,224
3,Télécommunication,Sciences Informatiques,2,Technique,55,224
4,Réseau,Sciences Informatiques,2,Technique,106,224
1,Techniques Douanières,Douane,1,Technique,2,23
1,Cordonnerie,"Arts, Culture, Design et mode",2 ans,Technique,20-30,24
2,Travaux du cuir,"Arts, Culture, Design et mode",2 ans,Technique,25-30,24
3,Broderie,"Arts, Culture, Design et mode",2 ans,Technique,15-20,24
4,Art - Floral,"Arts, Culture, Design et mode",2 ans,Technique,30-40,24
5,Artisanat,"Arts, Culture, Design et mode",2 ans,Technique,20-30,24
6,Coupe - Confect. masculine,"Arts, Culture, Design et mode",2 ans,Technique,15-20,24
7,Ferronnerie Soudure,Métiers du bâtiment et autres,2 ans,Technique,15-20,24
8,Ebenisterie,Métiers du bâtiment et autres,2 ans,Technique,20-24,24
9,Carrelage,Métiers du bâtiment et autres,2 ans,Technique,30-35,24
10,Cuisine,"Tourisme, Hôtellerie et Restauration",2 ans,Technique,20-30,24
1,Coupe couture,"Arts, Culture, Design et mode",2,Technique,6,268
2,Poterie,"Arts, Culture, Design et mode",1,Technique,1,268
3,Carrelage,Métiers du bâtiment et autres,2,Technique,39,268
4,Ebenisterie,Métiers du bâtiment et autres,2,Technique,17,268
5,Arts ménagers,"Tourisme, Hôtellerie et Restauration",1 an,Technique,26,268
1,Electricité Auto,Mécanique,1,Diplome,10,176
2,Mécanique automobile,Mécanique,2,Diplome,10,176
3,Construction Bâtiment,Métiers du bâtiment et autres,2,Diplome,10,176
4,Ferronnerie Soudure,Métiers du bâtiment et autres,1,Diplome,10,176
5,Carrelage,Métiers du bâtiment et autres,1,Diplome,10,176
6,Plomberie,Métiers du bâtiment et autres,2,Diplome,10,176
1,Sciences Infirmières,Santé et Professions médicales,-,Certificat,-,248
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,5,27
2,Technique Informatique,Sciences Informatiques,1,Technique,6,27
3,Dépannage d'ordinateurs,Sciences Informatiques,1,Technique,6,27
4,Secrétariat,Secrétariat,2,Technique,6,27
5,Secrétariat,Secrétariat,1,Technique,6,27
1,Artisanat,"Arts, Culture, Design et mode",1,Certificat,10,177
