,id_,institutions,type_formations,telephones,adresses
0,4,Abeille Ecole Ménagère,Technique,2257 7260,"Rue C. Mayard # 207, Pétion-Ville, Port-au-Prince, Ouest"
1,221,Académie de Formation et de Perfectionnement des Cadres (Continue),Universitaire,"3617 8941, 4467 7790, 2227 6837, 4075 1060","12, rue Pacot (entre bellevue et la rue 4) Port-au-Prince, Ouest"
2,77,Académie des Sciences Pures et Appliquées,Universitaire & Technique,"3779 8259,  3925 1735","154, Lalue (ancien local du Collège Latin), Port-au-Prince, Ouest"
3,276,Académie Haïtienne des Arts Culinaires,Technique,"3808 2818, 3701 3469,  2811 0629,  3824 1789","Angle rue Duncombre et Ave Lamartiniere, Bois-Verna, Port-au-Prince, Ouest"
4,56,Académie Nationale Diplomatique et Consulaire,Universitaire,"2227 5543, 44743636","25 Ave N, Port-au-Prince, Ouest"
5,5,Aiguille Enchantée,Technique,34492029,"Cap-Haïtien, Nord"
6,174,Alliance Centre de Form. Profes. et Technique (ACFPT),Technique,"3724 0634, 4890 6607","Rte de Delmas, Port-au-Prince Ouest"
7,340,America English School & Espana,Technique,"3742 1400, 3742 1403","1ère Avenue du Travail # 5, Port-au-Prince, Ouest  Delmas 35 #2, Port-au-Prince, Ouest"
8,6,Apex Centre de Formation Professionnelle,Technique,"2223 6509, 3940 4606, 3940 4607","Autoroute de Delmas, Delmas 50, Port-au-Prince"
9,175,Atelier Ecole Professionnelle d'Ennery (AEPE),Technique,3710 5927,"Rte Cimetière Ennery, Artibonite"
10,7,Atelier Ecole Professionnelle La Gonâve,Technique,"3758 0235, 3635 6528","Anse à Galet, La Gonave, Ouest"
11,8,Ateliers de Petit Goave (Public),Technique,2287 2606,"Petit Goave, Ouest"
12,319,Business and Technology Institute,Technique,"2286 4677, 3315 6678","#78,Rue du Quai,Port-au-Prince, Ouest"
13,10,Business Institute of the West Indies,Technique,"2246 2277, 2246 0684","Delmas 77 # 1 A, Port-au-Prince, Ouest"
14,224,Canado  Technique ou Centre de Formation Professionnelle d’Haiti (CFPH),Technique,2811 9380,"157, Ave. Martin Luther King, Turgeau, Port-au-Prince, Ouest"
15,23,Cargo Freight International School,Technique,3281 0468,"Angle rue Jér,3e imp Lav ,Port-au-Prince Ouest"
16,24,CASM (Public),Technique,2222 5971,"Ruelle Mayard, au Fond, Port-au-Prince, Ouest"
17,320,Centre Cardinal Keeler,Technique,"3632 8134,  3486 7383","Varreux Rte Nle#1, Cité Soleil, Ouest"
18,285,Centre Catholique de Formation Professionnelle de Léogane,Technique,3847-1464/3646-4790/2230-5326/3713-3336,"Rte de Darbonne, Léogane, Ouest"
19,268,Centre d'Apprentissage de St Martin,Technique,2222 5921/ 3721-4156 / 4275-5709,"Campus du Centre Pilote situé à Varreux             (logement Provisoire), Ouest"
20,176,Centre d'Apprentissage des Cayes (CAC),Technique,3461-3452/ 3724-5126 / 3452 3767 4405,"Rue Charpentier, Cayes, Sud"
21,248,Centre d'Apprentissage des Soins Infirmiers des Cayes,Technique,-,"Cayes, Sud"
22,27,Centre d'apprentissage en Informatique,Technique,3766 0487  3758 8515,"Avenue Christophe,Port-au-Prince, Ouest"
23,177,Centre d'Arts Ménagers 1ère Eglise Baptiste de la rue de la Réunion,Technique,"3687 8283, 4774-8020","# 115 Rue de l'enterrement, Port-au-Prince, Ouest"
24,282,Centre d'Arts Ménagers Baptiste Eben-Ezer,Technique,"3670 8678, 3703 9987 , 3703 99 87","#54, Avenue de la Liberté, Jacmel, Sud-Est"
25,289,Centre d'Arts Ménagers Lumière,Technique,"3704 3204, 3452 7882","Simon, Sud"
26,288,Centre d'Atelier Professionnel et de Formation Sociale (Continue),Technique,"3460 3976, 3728 0532","#12, vIL.Espérance, Mirbalais, Centre"
27,266,Centre d'Economie Familliale des Abricots,Technique,3631 9591,"Abricots, Jeremie, Grand'Anse"
28,47,Centre d'Education en Informatique du Sud,Technique,2286 0039,"18, Rue Nicolas Geffrard,Cayes, 
Sud"
29,100,Centre d'Education Technique et Professionnelle de St Marc,Technique,"22792460, 3689 9710",#99 Cité Verna (St Marc) Artibonite
30,46,Centre d'enseignement professionnel des Gonaives,Technique,3862 3279,"34, Descahos, Route Nationale #1, Gonaives, Artibonite"
31,45,Centre d'Etude Professionnelle et Technique,Technique,3794 7583,"30,Toussaint Louverture à Cote des Oblats, Port-au-Prince, Ouest"
32,186,Centre d'Etudes Comm. et de Perfectionnement d'Haiti (CECPH),Technique,3421 7678,"Delmas 75 / Puit Blain,Port-au-Prince, Ouest"
33,249,Centre d'Etudes para Médical pour les Carrières Médicales de Port-au-Prince,Technique,-,"Port-au-Prince, Ouest"
34,251,Centre d'Etudes Supérieures Médicales (CESMED) de Gonaives,Technique,"2258 4096, 3741 5587","115,Avenue des Dattes,Gonaives, Artibonite"
35,187,Centre d'Informatique de Comp. et d'Administration (CINFOCA),Universitaire & Technique,"2222 7606, 2221 2883","16 Bis, Rue 4 Ave Christophe, Port-au-Prince,  
4, rue Marcelin, Delmas 65, Ouest"
36,53,Centre d'informatique et de formation commerciale,Technique,"3287 1099, 3723 8773","774, Rue St-Paul, Petit-Goave, Port-au-Prince, Ouest"
37,61,Centre d'lnformatique de Statistique et d'Administration,Technique,"2245 1748, 4150 3709","316, Route de Bourdon, Port-au-Prince Ouest"
38,280,Centre d'Organisation Départementale pour la Formation Professionnelle Dominique Savio,Technique,3709 2588,"39, Rue de la Ravine,  Jacmel, Sud-Est"
39,178,Centre de Développement sur la Côté Sud d'Haïti,Technique,"3777 9157, 3782 3315","Port-à-Piment, Cayes, Sud"
40,273,Centre de Formation Continue (Continue),Technique,"4309 9271,  2813 1413",Port-au-Prince
41,34,Centre de Formation des Enseignants du Fondamental (Public),Universitaire,2227 5963,"Martissant 1, à côté de l’Église Sainte Bernadette, Port-au-Prince, Ouest"
42,179,Centre de Formation et d'Etudes Professionnelles (CFEP),Technique,"3721 0933,  3813 0440,  3330 1531","423 Autoroute de Delmas, entre delmas 91 et 93. 
Local du Collège Gilbert Albert, Pétion-ville,  Ouest"
43,166,Centre de Formation et de Développement Economique (CFDE),Universitaire,3162 7886,"Angle Delmas 75 et Impasse Hérard # 3;
Port-au-Prince, Ouest"
44,287,Centre de Formation Fritz Lafontant,Technique,"3170 7677, 3427 1053","Corporant(Entre Mirbalais et Cange), Centre"
45,65,Centre de Formation Professionnelle (Public),Technique,3726 9556,Trou du Nord
